Designator,Mid X,Mid Y,Rotation,Layer
_4,70.0,-25.0,90.0,top
_3,25.0,-115.0,90.0,top
_2,70.0,-115.0,90.0,top
,25.0,-25.0,90.0,top
C1,29.75,-91.12,0.0,bottom
C10,35.052,-98.1202,0.0,bottom
C11,45.98,-110.74,180.0,bottom
C12,26.162,-65.0296,270.0,bottom
C13,34.16,-38.43,0.0,bottom
C14,26.69,-96.07,270.0,bottom
C15,22.1742,-37.5158,0.0,bottom
C16,32.21,-94.73,0.0,bottom
C17,35.8902,-34.417,180.0,bottom
C18,28.035,-79.3552,270.0,bottom
C19,59.73,-76.1802,90.0,bottom
C2,62.7822,-76.1802,270.0,bottom
C20,64.2366,-28.6512,90.0,bottom
C21,62.1284,-28.6766,90.0,bottom
C22,22.1488,-39.6748,0.0,bottom
C23,22.12,-47.22,0.0,bottom
C24,33.69,-27.8,180.0,top
C25,29.33,-27.81,0.0,top
C26,31.1675,-55.989494,180.0,bottom
C27,27.3575,-55.989494,0.0,bottom
C28,31.1675,-61.780694,180.0,bottom
C29,34.798,-47.244,0.0,bottom
C3,46.26,-60.85,270.0,bottom
C30,27.34,-61.78,0.0,bottom
C31,34.8,-44.94,0.0,bottom
C32,72.0344,-100.6856,270.0,bottom
C33,67.1764,-82.5048,0.0,bottom
C34,60.63,-79.61,0.0,bottom
C35,59.944,-102.235,0.0,bottom
C38,71.12,-91.08,90.0,bottom
C39,66.2686,-97.4852,0.0,bottom
C4,50.35,-60.85,270.0,bottom
C40,51.53,-82.2,0.0,bottom
C41,51.5302,-76.612,0.0,bottom
C42,72.0344,-105.4608,90.0,bottom
C43,58.6994,-105.2576,270.0,bottom
C44,61.0362,-105.27,90.0,bottom
C5,71.1896,-82.4794,0.0,bottom
C6,38.4302,-110.109,90.0,bottom
C7,66.548,-58.2224,180.0,bottom
C8,34.0868,-110.1344,270.0,bottom
C9,49.04,-115.93,270.0,bottom
D1,21.7,-109.73,180.0,top
D2,21.7,-106.49,180.0,top
D3,36.58,-93.21,90.0,top
D4,30.5,-99.52,270.0,bottom
D5,21.7,-100.02,180.0,top
ENCODER1,47.25,-102.0,0.0,top
J1,36.0,-117.729,0.0,bottom
J2,40.55,-91.96,90.0,bottom
J3,20.03,-38.5,0.0,top
J4,59.0296,-120.37006,90.0,bottom
L1,26.0604,-107.4166,180.0,bottom
Q1,31.91,-94.2875,180.0,top
Q2,71.5518,-40.1066,90.0,top
Q3,53.83,-92.92,90.0,top
Q4,57.51,-92.92,90.0,top
R1,45.1612,-115.0366,180.0,bottom
R10,59.2742,-29.0576,0.0,top
R11,63.9318,-29.0322,0.0,top
R12,48.02,-112.81,180.0,bottom
R15,27.3812,-98.806,270.0,top
R16,27.4066,-102.7684,270.0,top
R17,21.8694,-103.0986,180.0,top
R18,61.4934,-64.3692,90.0,bottom
R19,63.46,-83.55,90.0,bottom
R2,45.1612,-117.094,180.0,bottom
R20,63.2206,-34.0868,0.0,bottom
R21,37.3888,-42.8498,180.0,bottom
R22,22.098,-45.1612,0.0,bottom
R23,22.098,-43.2054,0.0,bottom
R24,62.484,-42.926,0.0,bottom
R25,72.4154,-44.0436,270.0,top
R26,72.263,-91.551,90.0,top
R27,70.2818,-91.551,90.0,top
R28,35.92,-30.17,180.0,bottom
R29,35.9156,-32.2834,180.0,bottom
R3,36.2458,-110.109,90.0,bottom
R30,28.448,-65.1312,270.0,bottom
R31,30.1769,-58.885094,90.0,bottom
R32,30.8036,-81.311,270.0,bottom
R33,34.4358,-75.2404,0.0,bottom
R36,30.4038,-65.1058,90.0,bottom
R37,28.2465,-58.885094,270.0,bottom
R38,33.5,-81.29,90.0,bottom
R39,31.7434,-77.4502,180.0,bottom
R4,26.6446,-109.6518,180.0,top
R40,62.57,-92.68,180.0,top
R41,66.86,-92.68,0.0,top
R42,39.719,-81.2856,90.0,bottom
R43,39.7444,-76.1548,270.0,bottom
R44,32.3596,-65.1058,90.0,bottom
R45,32.1073,-58.910494,90.0,bottom
R5,52.78,-118.93,0.0,bottom
R6,52.78,-116.9,180.0,bottom
R7,51.74,-113.88,90.0,bottom
R8,40.5892,-110.109,270.0,bottom
R9,27.69,-94.36,180.0,top
S1,32.5,-102.0,270.0,top
S2,62.5,-102.0,90.0,top
S3,22.01,-91.49,90.0,bottom
TFT1,47.5,-58.0,0.0,top
U1,48.63,-114.6,270.0,top
U10,28.5496,-31.5468,90.0,bottom
U11,28.829,-43.5356,90.0,bottom
U12,50.0,-35.7,0.0,bottom
U13,63.67,-92.39,0.0,bottom
U14,67.3694,-105.4612,270.0,bottom
U2,68.7258,-77.501,0.0,bottom
U3,41.0,-60.96,90.0,top
U4,54.0,-60.96,90.0,top
U5,35.0458,-103.4908,0.0,bottom
U6,47.5,-60.96,270.0,bottom
U7,49.5,-79.48,270.0,bottom
U8,25.908,-101.1037,180.0,bottom
U9,28.4988,-37.084,90.0,bottom
