Designator,Mid X,Mid Y,Rotation,Layer
_4,70.0,-25.0,90.0,top
_3,25.0,-115.0,90.0,top
_2,70.0,-115.0,90.0,top
,25.0,-25.0,90.0,top
C1,29.7688,-88.1634,0.0,bottom
C10,34.0868,-110.1344,270.0,bottom
C11,35.052,-98.1202,0.0,bottom
C12,26.57,-60.8,270.0,bottom
C13,35.86,-38.9,0.0,bottom
C14,26.6954,-95.9358,270.0,bottom
C15,22.1742,-37.5158,0.0,bottom
C16,35.9,-34.417,180.0,bottom
C17,31.8262,-91.9734,0.0,bottom
C18,26.035,-75.8952,270.0,bottom
C19,63.246,-73.025,270.0,top
C2,60.7822,-72.7202,270.0,bottom
C20,22.1488,-39.6748,0.0,bottom
C21,64.2366,-28.6512,90.0,bottom
C22,62.1284,-28.6766,90.0,bottom
C23,22.1234,-47.1424,0.0,bottom
C24,34.4,-27.51,180.0,top
C25,29.71,-27.51,0.0,top
C26,27.1,-54.3,90.0,bottom
C27,35.93,-47.11,0.0,bottom
C28,27.57,-57.5,0.0,bottom
C29,35.92,-45.09,0.0,bottom
C3,46.26,-57.39,270.0,bottom
C30,72.0344,-100.6856,270.0,bottom
C31,69.09,-95.71,90.0,bottom
C32,64.75,-95.71,90.0,bottom
C33,59.944,-102.235,0.0,bottom
C34,72.0344,-105.4608,90.0,bottom
C35,58.6994,-105.2576,270.0,bottom
C36,61.0362,-105.27,90.0,bottom
C4,50.35,-57.39,270.0,bottom
C5,69.1896,-79.0194,0.0,bottom
C6,37.8968,-93.1672,270.0,top
C7,50.8508,-115.062,180.0,top
C8,66.548,-54.7624,180.0,bottom
C9,38.4302,-110.109,90.0,bottom
D1,21.7,-109.73,180.0,top
D2,21.7,-106.49,180.0,top
D3,30.31,-94.35,180.0,bottom
D4,30.6324,-99.2124,270.0,bottom
D5,21.7,-100.02,180.0,top
ENCODER1,47.25,-102.0,0.0,top
J1,36.0,-117.729,0.0,bottom
J2,40.2474,-91.5416,90.0,bottom
J3,20.03,-38.5,0.0,top
J4,59.0296,-120.37006,90.0,bottom
L1,26.0604,-107.4166,180.0,bottom
Q1,26.29,-93.4475,180.0,top
Q2,71.5518,-40.1066,90.0,top
R1,35.687,-93.1926,270.0,top
R10,26.6446,-109.6518,180.0,top
R11,54.0512,-111.9378,270.0,top
R12,23.2,-79.04,0.0,top
R13,23.2,-76.9,180.0,top
R14,59.2742,-29.0576,0.0,top
R15,63.9318,-29.0322,0.0,top
R16,40.5892,-110.109,270.0,bottom
R18,36.49,-93.64,90.0,bottom
R2,66.2,-94.59,180.0,top
R20,27.3812,-98.806,270.0,top
R21,27.4066,-102.7684,270.0,top
R22,21.8694,-103.0986,180.0,top
R23,61.4934,-60.9092,90.0,bottom
R24,61.46,-79.72,90.0,bottom
R25,63.2206,-34.0868,0.0,bottom
R26,35.87,-41.08,180.0,bottom
R27,22.098,-45.1612,0.0,bottom
R28,22.098,-43.2054,0.0,bottom
R29,67.78,-45.4,0.0,bottom
R3,45.1612,-115.0366,180.0,bottom
R30,39.0,-27.2,180.0,top
R31,39.0,-29.4,180.0,top
R32,72.4154,-44.0436,270.0,top
R33,62.57,-45.88,0.0,bottom
R34,62.54,-41.64,0.0,bottom
R35,28.64,-60.8,270.0,bottom
R36,31.25,-54.3,90.0,bottom
R37,28.8036,-77.851,270.0,bottom
R38,32.4358,-71.7804,0.0,bottom
R39,30.66,-60.8,90.0,bottom
R4,45.1612,-117.094,180.0,bottom
R40,29.2,-54.3,270.0,bottom
R41,31.5,-77.83,90.0,bottom
R42,29.7434,-73.9902,180.0,bottom
R43,37.719,-77.8256,90.0,bottom
R44,37.7444,-72.6948,270.0,bottom
R5,36.2458,-110.109,90.0,bottom
R6,42.5196,-93.1418,270.0,top
R7,49.8602,-111.9632,90.0,top
R8,44.577,-93.1672,270.0,top
R9,51.9684,-111.9632,270.0,top
S1,32.5,-102.0,270.0,top
S2,62.5,-102.0,90.0,top
S3,22.01,-91.49,90.0,bottom
TFT1,48.17,-73.01,0.0,top
U1,66.7258,-74.041,0.0,bottom
U10,28.829,-43.5356,90.0,bottom
U11,50.0,-32.915,0.0,bottom
U12,67.3694,-105.4612,270.0,bottom
U2,41.0,-57.5,90.0,top
U3,54.0,-57.5,90.0,top
U4,35.0458,-103.4908,0.0,bottom
U5,47.5,-57.5,270.0,bottom
U6,28.4988,-37.084,90.0,bottom
U7,47.5,-76.02,270.0,bottom
U8,25.908,-101.1037,180.0,bottom
U9,28.5496,-31.5468,90.0,bottom
